Simbolo,Nombre,NumeroAtomico,MasaAtomica,Electronegatividad,Estado,TipoElemento
H,Hidrógeno,1,1.008,2.20,Gas,No Metal
He,Helio,2,4.0026,,Gas,Gas Noble
Li,Litio,3,6.94,0.98,Sólido,Metal Alcalino
Be,Berilio,4,9.0122,1.57,Sólido,Metal Alcalinotérreo
B,Boro,5,10.81,2.04,Sólido,Metaloide
C,Carbono,6,12.011,2.55,Sólido,No Metal
N,Nitrógeno,7,14.007,3.04,Gas,No Metal
O,Oxígeno,8,15.999,3.44,Gas,No Metal
F,Flúor,9,18.998,3.98,Gas,No Metal
Ne,Neón,10,20.18,,Gas,Gas Noble
Na,Sodio,11,22.99,0.93,Sólido,Metal Alcalino
Mg,Magnesio,12,24.305,1.31,Sólido,Metal Alcalinotérreo
Al,Aluminio,13,26.982,1.61,Sólido,Metal del Bloque p
Si,Silicio,14,28.085,1.90,Sólido,Metaloide
P,Fósforo,15,30.974,2.19,Sólido,No Metal
S,Azufre,16,32.06,2.58,Sólido,No Metal
Cl,Cloro,17,35.45,3.16,Gas,No Metal
Ar,Argón,18,39.948,,Gas,Gas Noble
K,Potasio,19,39.098,0.82,Sólido,Metal Alcalino
Ca,Calcio,20,40.078,1.00,Sólido,Metal Alcalinotérreo
Sc,Escandio,21,44.955,1.36,Sólido,Metal de Transición
Ti,Titanio,22,47.867,1.54,Sólido,Metal de Transición
V,Vanadio,23,50.942,1.63,Sólido,Metal de Transición
Cr,Cromo,24,51.996,1.66,Sólido,Metal de Transición
Mn,Manganeso,25,54.938,1.55,Sólido,Metal de Transición
Fe,Hierro,26,55.845,1.83,Sólido,Metal de Transición
Co,Cobalto,27,58.933,1.88,Sólido,Metal de Transición
Ni,Níquel,28,58.693,1.91,Sólido,Metal de Transición
Cu,Cobre,29,63.546,1.90,Sólido,Metal de Transición
Zn,Zinc,30,65.38,1.65,Sólido,Metal de Transición
Ga,Galio,31,69.723,1.81,Sólido,Metal del Bloque p
Ge,Germanio,32,72.63,2.01,Sólido,Metaloide
As,Arsénico,33,74.922,2.18,Sólido,Metaloide
Se,Selenio,34,78.971,2.55,Sólido,No Metal
Br,Bromo,35,79.904,2.96,Líquido,No Metal
